Start Date,01/01/2010,,,,,
End Date,01/01/2023,,,,,
,,,,,,
,LME COPPER    3MO ($),LME ALUMINUM  3MO ($),LME ZINC      3MO ($),LME LEAD      3MO ($),LME TIN       3MO ($),Generic 1st 'CL' Future
,LMCADS03 Comdty,LMAHDS03 Comdty,LMZSDS03 Comdty,LMPBDS03 Comdty,LMSNDS03 Comdty,CL1 Comdty
,Settlement Price,Settlement Price,Settlement Price,Settlement Price,Settlement Price,Settlement Price
Dates,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE,PX_SETTLE
01/01/2010,7375,2230,2560,2432,16950,79.36
04/01/2010,7500,2267,2574,2515,17450,81.51
05/01/2010,7485,2302,2575,2522.5,17375,81.77
06/01/2010,7660,2377,2718,2680,17825,83.18
07/01/2010,7535,2310,2607,2599,17475,82.66
08/01/2010,7461,2284,2521,2532,17340,82.75
11/01/2010,7567.5,2330,2573,2531,17900,82.52
12/01/2010,7455,2281,2475,2432,17900,80.79
13/01/2010,7485,2294,2489,2480,18000,79.65
14/01/2010,7490,2335,2503,2507,18425,79.39
15/01/2010,7430,2306,2470,2435,18100,78
18/01/2010,7500,2303.5,2481,2465,18000,78
19/01/2010,7545,2293.5,2503,2425,17975,79.02
20/01/2010,7375,2267,2444,2295,17775,77.62
21/01/2010,7275,2239,2400,2260,17750,76.08
22/01/2010,7390,2231,2350,2237,17775,74.54
25/01/2010,7465,2242,2315,2220,17900,75.26
26/01/2010,7381,2220,2318.5,2200,17975,74.71
27/01/2010,7230,2180,2236,2125,17850,73.67
28/01/2010,6898,2108,2158,2057,17550,73.64
29/01/2010,6745,2079,2110,2025,17200,72.89
01/02/2010,6790,2085,2145,2045,16150,74.43
02/02/2010,6815,2120,2161,2117,16450,77.23
03/02/2010,6590,2083,2092,2021,16600,76.98
04/02/2010,6390,2044,2021,1964.5,16175,73.14
05/02/2010,6280,1980,1940,1936,15450,71.19
08/02/2010,6450,2012,2022.5,1965,15200,71.89
09/02/2010,6590,2056,2104,2032.5,15455,73.75
10/02/2010,6535,2035,2114,2045,15700,74.52
11/02/2010,6939,2056,2180,2125,16200,75.28
12/02/2010,6810,2055,2170,2134,16225,74.13
15/02/2010,6865,2054,2200,2180,16495,74.13
16/02/2010,7144,2131,2337,2298,16700,77.01
17/02/2010,7130,2122,2300,2290,16750,77.33
18/02/2010,7265,2114,2310,2319,16950,79.06
19/02/2010,7431.5,2139,2365,2359,17000,79.81
22/02/2010,7330,2151,2292.5,2325,17175,80.16
23/02/2010,7132,2126,2220,2235,16825,78.86
24/02/2010,7152.5,2137,2204,2215,16975,80
25/02/2010,6999,2086,2116,2150,16725,78.17
26/02/2010,7195,2134,2195,2165,17125,79.66
01/03/2010,7400,2143,2220,2170,17050,78.7
02/03/2010,7491,2168,2255,2199,17090,79.68
03/03/2010,7580,2210,2320,2238.5,17350,80.87
04/03/2010,7398,2219,2259,2170,17255,80.21
05/03/2010,7545,2230,2349,2230,17405,81.5
08/03/2010,7470,2231,2370,2257.5,17300,81.87
09/03/2010,7510,2258,2375,2245,17550,81.49
10/03/2010,7440,2232,2376,2289,17750,82.09
11/03/2010,7464,2235,2340,2251,17350,82.11
12/03/2010,7445,2260.5,2335,2265,17550,81.24
15/03/2010,7305,2227,2280,2204,17450,79.8
16/03/2010,7405,2258,2307,2220,17550,81.7
17/03/2010,7534,2295,2347,2255,17750,82.93
18/03/2010,7486,2276,2334,2245,17795,82.2
19/03/2010,7435,2258,2295,2195,17650,80.68
22/03/2010,7450,2255,2277,2165,17550,81.25
23/03/2010,7440,2258,2240,2104,17600,81.91
24/03/2010,7371,2222,2211,2026,17525,80.61
25/03/2010,7435,2219,2245,2077,17455,80.53
26/03/2010,7515,2220,2229,2125,17675,80
29/03/2010,7770,2283,2332,2151,18025,82.17
30/03/2010,7850,2294,2380,2135,18370,82.37
31/03/2010,7790,2323,2375,2147,18450,83.76
01/04/2010,7885,2352,2403,2210,18450,84.87
02/04/2010,7885,2352,2403,2210,18450,84.87
05/04/2010,7885,2352,2403,2210,18450,86.62
06/04/2010,7990,2365,2448,2300,18415,86.84
07/04/2010,7945,2352,2400,2290,18575,85.88
08/04/2010,7892,2358.5,2380,2290,18600,85.39
09/04/2010,7925,2406,2415,2332,18740,84.92
12/04/2010,7905,2417,2422,2358.5,18700,84.34
13/04/2010,7900,2436,2387,2358,18610,84.05
14/04/2010,7950,2462,2460,2360,18845,85.84
15/04/2010,7945,2472,2509,2340,18970,85.51
16/04/2010,7760,2434,2423,2261,19200,83.24
19/04/2010,7695,2369,2390,2236,18805,81.45
20/04/2010,7790,2385,2450,2355,19200,83.45
21/04/2010,7759,2351,2425,2320,19025,83.68
22/04/2010,7690,2320,2418,2308,18900,83.7
23/04/2010,7750,2334,2405,2300,19000,85.12
26/04/2010,7810,2316,2441,2359,19145,84.2
27/04/2010,7490,2150,2361,2300,18550,82.44
28/04/2010,7400,2190,2330,2237,18000,83.22
29/04/2010,7355,2200,2268,2230,18160,85.17
30/04/2010,7430,2255,2285,2230,18250,86.15
03/05/2010,7430,2255,2285,2230,18250,86.19
04/05/2010,7025.5,2163,2147,2060,17850,82.74
05/05/2010,6958.5,2121,2125,1940,17575,79.97
06/05/2010,6948,2103,2114,2001,17700,77.11
07/05/2010,6945,2072.5,2091,2050,17600,75.11
10/05/2010,7120,2147,2139,2108,17750,76.8
11/05/2010,7050,2105,2070,2050,17525,76.37
12/05/2010,7025,2121,2100,2045,17725,75.65
13/05/2010,7160,2170,2160,2065,17800,74.4
14/05/2010,6926,2101,2055,1940,17550,71.61
17/05/2010,6470,1990,1900,1805,17175,70.08
18/05/2010,6695,2052,1939,1835,17500,69.41
19/05/2010,6505,2002,1857.5,1756,17450,69.87
20/05/2010,6610,1992,1874,1745,17395,68.01
21/05/2010,6845,2055,1891,1811,17600,70.04
24/05/2010,6910,2084,1930,1830,17750,70.21
25/05/2010,6730,2017,1855,1745,17595,68.75
26/05/2010,6779,2014.5,1890,1753,17575,71.51
27/05/2010,6984,2065,1940,1844,17990,74.55
28/05/2010,6939,2043,1936,1850,17905,73.97
31/05/2010,6939,2043,1936,1850,17905,73.97
01/06/2010,6750,1990.5,1853,1750,17800,72.58
02/06/2010,6668,1984,1802,1696,17650,72.86
03/06/2010,6525,1955,1745,1645,17675,74.61
04/06/2010,6280,1881,1641,1607,16005,71.51
07/06/2010,6101,1867.5,1628,1554,15500,71.44
08/06/2010,6165,1920,1734,1606,15950,71.99
09/06/2010,6340,1928,1754,1680,16325,74.38
10/06/2010,6410,1949,1720,1684,16650,75.48
11/06/2010,6479,1945,1740,1670,16550,73.78
14/06/2010,6660,1994,1797,1715,16950,75.12
15/06/2010,6680,2012,1840,1759,17500,76.94
16/06/2010,6650,2005,1829,1760,17800,77.67
17/06/2010,6446,1966,1765,1764,17745,76.79
18/06/2010,6435,1944,1730,1745,17450,77.18
21/06/2010,6604,1961,1775,1833,17900,77.82
22/06/2010,6610,1959,1794,1828,18150,77.21
23/06/2010,6515,1941,1829.5,1815,17825,76.35
24/06/2010,6694,1965,1875,1820,18150,76.51
25/06/2010,6770,1997,1873,1815,18125,78.86
28/06/2010,6869,2029,1880,1860,18250,78.25
29/06/2010,6494,1947,1743,1720,17600,75.94
30/06/2010,6515,1977.5,1792.5,1750,17425,75.63
01/07/2010,6330,1926,1740,1735,16960,72.95
02/07/2010,6410,1936.5,1780,1753,17240,72.14
05/07/2010,6469,1937,1807,1765,17325,72.14
06/07/2010,6605,1995,1850,1780,17600,71.98
07/07/2010,6645,1986,1853,1795,17650,74.07
08/07/2010,6615,1989,1855,1828,17550,75.44
09/07/2010,6760,2004,1904,1845,17650,76.09
12/07/2010,6630,1971,1855.5,1784,17525,74.95
13/07/2010,6685,1995,1865,1825,18000,77.15
14/07/2010,6725,2009,1850,1828,17975,77.04
15/07/2010,6680,2016,1808,1798,17930,76.62
16/07/2010,6485,1978,1796.5,1770,17750,76.01
19/07/2010,6510,1972,1808,1775,17945,76.54
20/07/2010,6641,1971,1875,1839,18240,77.44
21/07/2010,6860,2008,1918,1866,18370,76.56
22/07/2010,7010,2044,1948.5,1940,18575,79.3
23/07/2010,7029,2030,1906,1979,19495,78.98
26/07/2010,7149,2056,1954,2015,19400,78.98
27/07/2010,7059,2056,1909,1977,19330,77.5
28/07/2010,7170,2068,1955,2017.5,19525,76.99
29/07/2010,7230.5,2093,1990,2050,19600,78.36
30/07/2010,7296.5,2175,2025,2077.5,19505,78.95
02/08/2010,7510,2217,2122,2214,19880,81.34
03/08/2010,7425,2204,2085,2220,19850,82.55
04/08/2010,7505,2228,2120,2243,20290,82.47
05/08/2010,7399,2200,2097,2185,20475,82.01
06/08/2010,7370,2191,2129,2161,20725,80.7
09/08/2010,7425,2182,2150,2200,21300,81.48
10/08/2010,7300,2170,2085,2125,20600,80.25
11/08/2010,7200,2142,2037,2065,19850,78.02
12/08/2010,7255,2163.5,2056,2100,20550,75.74
13/08/2010,7156,2110,2047,2057,20800,75.39
16/08/2010,7250,2118,2073,2095,21100,75.24
17/08/2010,7382,2141,2123,2130,21300,75.77
18/08/2010,7390,2105,2135,2123,21000,75.42
19/08/2010,7305,2066,2090,2105,21100,74.43
20/08/2010,7255,2040,2058,2056,20650,73.46
23/08/2010,7255,2040,2044,2048,20460,73.1
24/08/2010,7137,2028,1991,2012,20400,71.63
25/08/2010,7101,2003,1964,1961,20350,72.52
26/08/2010,7304.5,2023,2050,2025.5,21350,73.36
27/08/2010,7459,2058,2095,2090,21640,75.17
30/08/2010,7459,2058,2095,2090,21640,74.7
31/08/2010,7440,2058,2065,2070,21000,71.92
01/09/2010,7606,2108,2133,2115,21450,73.91
02/09/2010,7635,2145,2174,2155,21425,75.02
03/09/2010,7646,2147,2151,2168,21200,74.6
06/09/2010,7709,2193,2196,2196,20850,74.6
07/09/2010,7629,2165,2189,2184,20950,74.09
08/09/2010,7675,2160,2219,2235,21675,74.67
09/09/2010,7555,2105,2153,2201,21700,74.25
10/09/2010,7486,2100,2110,2185,21875,76.45
13/09/2010,7630,2130,2145,2251,22300,77.19
14/09/2010,7655,2160.5,2175,2243,22650,76.8
15/09/2010,7620,2154,2145,2237.5,23150,76.02
16/09/2010,7700,2165.5,2148,2202,23495,74.57
17/09/2010,7720,2180,2151,2202.5,23600,73.66
20/09/2010,7715,2195,2180,2195,23450,74.86
21/09/2010,7680,2175,2142,2175,23000,73.52
22/09/2010,7845,2235,2191,2223.5,23300,74.71
23/09/2010,7885,2292,2250,2275,23695,75.18
24/09/2010,7945,2318,2247,2296,23600,76.49
27/09/2010,7910,2293,2207.5,2269,23650,76.52
28/09/2010,7951,2309,2220,2281,24000,76.18
29/09/2010,8064,2341,2225,2300,24325,77.86
30/09/2010,8014,2351,2195,2278,24250,79.97
01/10/2010,8100,2359,2229,2295,24900,81.58
